cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,wb_we,wb_rd,wb_wdata,stall,flush,redirect,redirect_target
84,1,0x00000150,0x00000013,1,0x0000014c,0x00000013,1,0x00000148,0x00000013,1,0x00000144,0x00000013,1,0x00000140,0x00000013,1,0,0x00000000,0,0,0,0x0000014c
85,1,0x00000154,0x00000013,1,0x00000150,0x00000013,1,0x0000014c,0x00000013,1,0x00000148,0x00000013,1,0x00000144,0x00000013,1,0,0x00000000,0,0,0,0x00000150
86,1,0x00000158,0x00000013,1,0x00000154,0x00000013,1,0x00000150,0x00000013,1,0x0000014c,0x00000013,1,0x00000148,0x00000013,1,0,0x00000000,0,0,0,0x00000154
87,1,0x0000015c,0x00000013,1,0x00000158,0x00000013,1,0x00000154,0x00000013,1,0x00000150,0x00000013,1,0x0000014c,0x00000013,1,0,0x00000000,0,0,0,0x00000158
88,1,0x00000160,0x00000013,1,0x0000015c,0x00000013,1,0x00000158,0x00000013,1,0x00000154,0x00000013,1,0x00000150,0x00000013,1,0,0x00000000,0,0,0,0x0000015c
89,1,0x00000164,0x00000013,1,0x00000160,0x00000013,1,0x0000015c,0x00000013,1,0x00000158,0x00000013,1,0x00000154,0x00000013,1,0,0x00000000,0,0,0,0x00000160
90,1,0x00000168,0x00000013,1,0x00000164,0x00000013,1,0x00000160,0x00000013,1,0x0000015c,0x00000013,1,0x00000158,0x00000013,1,0,0x00000000,0,0,0,0x00000164
91,1,0x0000016c,0x00000013,1,0x00000168,0x00000013,1,0x00000164,0x00000013,1,0x00000160,0x00000013,1,0x0000015c,0x00000013,1,0,0x00000000,0,0,0,0x00000168
92,1,0x00000170,0x00000013,1,0x0000016c,0x00000013,1,0x00000168,0x00000013,1,0x00000164,0x00000013,1,0x00000160,0x00000013,1,0,0x00000000,0,0,0,0x0000016c
93,1,0x00000174,0x00000013,1,0x00000170,0x00000013,1,0x0000016c,0x00000013,1,0x00000168,0x00000013,1,0x00000164,0x00000013,1,0,0x00000000,0,0,0,0x00000170
94,1,0x00000178,0x00000013,1,0x00000174,0x00000013,1,0x00000170,0x00000013,1,0x0000016c,0x00000013,1,0x00000168,0x00000013,1,0,0x00000000,0,0,0,0x00000174
95,1,0x0000017c,0x00000013,1,0x00000178,0x00000013,1,0x00000174,0x00000013,1,0x00000170,0x00000013,1,0x0000016c,0x00000013,1,0,0x00000000,0,0,0,0x00000178
